source_file,new_file,status
01_ลูดี้.png,rudy.png,พร้อมใช้ในเว็บ
02_ไอลีน.png,eileene.png,พร้อมใช้ในเว็บ
03_ราเชล.png,rachel.png,พร้อมใช้ในเว็บ
04_สไปค์.png,spike.png,พร้อมใช้ในเว็บ
05_เจฟ.png,jave.png,พร้อมใช้ในเว็บ
06_คริส.png,kris.png,พร้อมใช้ในเว็บ
07_วาเนสซา.png,vanessa.png,พร้อมใช้ในเว็บ
08_ไพร์.png,fai.png,พร้อมใช้ในเว็บ
09_โรซี่.png,rosie.png,พร้อมใช้ในเว็บ
10_จูรี.png,juri.png,พร้อมใช้ในเว็บ
11_มิเลีย.png,melia.png,พร้อมใช้ในเว็บ
12_เคล็ดดิส.png,gellidus.png,พร้อมใช้ในเว็บ
13_เมลคีร์.png,mercure.png,พร้อมใช้ในเว็บ
14_โคลท์.png,colt.png,พร้อมใช้ในเว็บ
15_เพลตัน.png,platin.png,พร้อมใช้ในเว็บ
16_บรันซ์_&_บรันเซล.png,branze_bransel.png,พร้อมใช้ในเว็บ
17_พาลานอส.png,pallanus.png,พร้อมใช้ในเว็บ
18_เดลโลนส์.png,dellons.png,พร้อมใช้ในเว็บ
19_เอซ.png,ace.png,พร้อมใช้ในเว็บ
20_ริน.png,rin.png,พร้อมใช้ในเว็บ
21_ซุนหงอคง.png,sun_wukong.png,พร้อมใช้ในเว็บ
22_สไปค์_2.png,lubu.png,พร้อมใช้ในเว็บ
23_แทโอ.png,teo.png,พร้อมใช้ในเว็บ
24_ยอนฮี.png,yeonhee.png,พร้อมใช้ในเว็บ
25_คาร์ม่า.png,karma.png,พร้อมใช้ในเว็บ
26_ไคล์.png,kyle.png,พร้อมใช้ในเว็บ
27_ทากะ.png,taka.png,พร้อมใช้ในเว็บ
28_ออร์ลี่.png,orly.png,พร้อมใช้ในเว็บ
29_อาคิล่า.png,aquila.png,พร้อมใช้ในเว็บ
30_โอมิก.png,o_mok.png,พร้อมใช้ในเว็บ
31_คาร์ล_เฮรอน.png,karl_heron.png,พร้อมใช้ในเว็บ
32_คิริเอล.png,kyrielle.png,พร้อมใช้ในเว็บ
33_เอเลเซีย.png,elysia.png,พร้อมใช้ในเว็บ
34_ไรอัน.png,ryan.png,พร้อมใช้ในเว็บ
35_พยัคฆ์เมฆา.png,klahan.png,พร้อมใช้ในเว็บ
36_คางูระ.png,kagura.png,พร้อมใช้ในเว็บ
37_มิโฮะ.png,miho.png,พร้อมใช้ในเว็บ
38_เอมิเลีย.png,amelia.png,พร้อมใช้ในเว็บ
39_ยูนกอน.png,yungon.png,ยังไม่มีตัวละครใน characters.js
40_รูด.png,trude.png,พร้อมใช้ในเว็บ
41_เฟรยา.png,frayja.png,พร้อมใช้ในเว็บ
42_แร็คครีด.png,radgrid.png,พร้อมใช้ในเว็บ
43_เรกินเลฟ.png,reginleif.png,พร้อมใช้ในเว็บ
44_แรนดกรีด.png,randgrid.png,พร้อมใช้ในเว็บ
45_มิสตี้.png,mist.png,พร้อมใช้ในเว็บ
46_สคัลด์.png,skuld.png,ยังไม่มีตัวละครใน characters.js
47_ซิลเวสตา.png,silvesta.png,พร้อมใช้ในเว็บ
48_เคลมิส.png,klemis.png,ยังไม่มีตัวละครใน characters.js
49_ออร์ก้า.png,orca.png,ยังไม่มีตัวละครใน characters.js
50_อาริส.png,aris.png,ยังไม่มีตัวละครใน characters.js
51_ซอริน.png,sorin.png,ยังไม่มีตัวละครใน characters.js
